Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2006,Michael Coleman,TBD,AA,30,485,0.084536082,0.191752577,0.440860215,0.239080459,0.313402061,0.427586206,0.740988267,0.188505747,4.566941948724740,0.266055045,0.992404946082388,57.57124263503430,6.163740192435980,0.3360984550168120,106.70166025606500,1002429
2013,Christian Bethancourt,ATL,AA,21,388,0.041237113,0.146907216,0.280701754,0.276536312,0.305483028,0.435754189,0.741237217,0.159217877,3.7408301735051900,0.293918918,-0.7381915545556690,46.21047656457490,4.8296975068336900,0.33487212938788000,114.35276501023600,10028
2011,Wil Myers,KCR,AA,20,416,0.125,0.209134615,0.597701149,0.254237288,0.352657004,0.392655367,0.745312371,0.138418079,4.457873318774790,0.311787072,0.6395634235814210,54.7770224378034,1.504521922819270,0.33882693040746200,95.75116505234410,10047
2011,Grant Green,OAK,AA,23,587,0.066439522,0.202725724,0.327731092,0.290566037,0.342512908,0.407547169,0.750060077,0.116981132,3.3847618045887300,0.355392156,-2.7311471831053500,75.76544845001490,0.594876809881033,0.33569656464308200,95.05948241149120,10053
2011,Mike Trout,LAA,AA,19,412,0.1092233,0.184466019,0.592105263,0.325779036,0.414215686,0.543909348,0.958125034,0.218130312,8.675973183375370,0.389513108,1.8446394111961100,82.2582566327301,29.497991699620800,0.4205732158126640,162.4335873952130,10155
2013,Tucker Barnhart,CIN,AA,22,395,0.11392405,0.144303797,0.789473684,0.25958702,0.347826086,0.348082595,0.695908681,0.088495575,2.1659023909179500,0.300353356,-0.20789889921434200,44.415981174723400,2.288641670064230,0.3258113910116080,101.91685758251600,10200
2013,Randal Grichuk,LAA,AA,21,542,0.051660516,0.169741697,0.304347826,0.256,0.305555555,0.474,0.779555555,0.218,6.78739614784793,0.272493573,-0.3372608150821180,71.64442624573920,9.919785801818060,0.34085697700099900,123.1749452367580,10243
2013,Danny Ortiz,MIN,AA,23,520,0.051923076,0.167307692,0.310344827,0.258799171,0.301158301,0.405797101,0.706955402,0.14699793,3.666701665933010,0.291237113,-1.5685855280607900,57.165680434534700,-4.297918770482410,0.318024689731561,92.9745249022932,10317
2013,Danny Santana,MIN,AA,22,588,0.040816326,0.161564625,0.252631578,0.296846011,0.333333333,0.385899814,0.719233147,0.089053803,7.288239194262430,0.353467561,0.452289012609981,68.79248007646510,-0.7086667169004330,0.3270145723094110,98.89728202257260,10322
2014,Rafael Ortega,STL,AA,23,414,0.108695652,0.137681159,0.789473684,0.248603351,0.330882352,0.346368715,0.677251067,0.097765364,5.657833253666200,0.275167785,-0.8505504885688420,44.48115407570980,-1.4915264929853200,0.3157571971562920,94.01713220686020,10323
2014,Ramon Cabrera,DET,AA,24,431,0.076566125,0.085846867,0.891891891,0.276649746,0.329466357,0.35786802,0.687334377,0.081218274,2.0057910361554400,0.292134831,0.03064999170601370,46.70473021227920,-3.735200725905100,0.3147698407106780,91.32102396017970,10327
2012,Ramon Cabrera,PIT,AA,22,428,0.091121495,0.105140186,0.866666666,0.276041666,0.341981132,0.3671875,0.709168632,0.091145834,2.881077564230890,0.305637982,-1.195439353949040,48.214325090920800,-0.9573934468866200,0.32590346274364600,100.23473777035600,10327
2012,Rey Fuentes,SDP,AA,21,541,0.096118299,0.245841035,0.390977443,0.217758985,0.301498127,0.302325581,0.603823708,0.084566596,6.752451784527080,0.292035398,3.0205202056095000,45.736043656251000,-17.79608219675100,0.2818041312985300,78.06241621953440,10329
2013,Rey Fuentes,SDP,AA,22,403,0.101736972,0.17617866,0.577464788,0.315942028,0.395939086,0.44057971,0.836518796,0.124637682,6.121227305515700,0.381481481,1.6565289791906300,64.00939107113940,18.11450158977370,0.3750995490319880,143.60540661611000,10329
2013,Slade Heathcott,NYY,AA,22,444,0.081081081,0.24099099,0.336448598,0.260651629,0.326530612,0.411027568,0.73755818,0.150375939,7.0328001365835100,0.335664335,-0.4230519637931140,54.491426755947800,2.0109689732024000,0.33431651456789500,105.61454502532700,10336
2017,Slade Heathcott,SFG,AA,26,394,0.093908629,0.223350253,0.420454545,0.262247838,0.339331619,0.435158501,0.77449012,0.172910663,4.839054946682270,0.318548387,-0.7635085987858470,52.3794830208107,6.38518696179829,0.34827831441148700,118.48081031546500,10336
