Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2012,Alfredo Amezaga,CHC,AAA,34,439,0.08428246,0.136674259,0.616666666,0.273869346,0.335616438,0.371859296,0.707475734,0.09798995,5.749040142602330,0.308383233,0.970079469087068,49.33416756559240,-8.730959643236520,0.3195739322996250,88.01447243180130,1
2014,Alfredo Amezaga,MEX,AAA,36,368,0.097826086,0.100543478,0.972972972,0.313099041,0.388888888,0.412140575,0.801029463,0.099041534,3.2814275075380000,0.33935018,-2.0937834477517800,53.54289877414260,4.414379715915050,0.3689388221020820,117.61331668584800,1
2017,Alfredo Amezaga,MEX,AAA,39,345,0.084057971,0.144927536,0.58,0.28618421,0.358823529,0.368421052,0.727244581,0.082236842,2.8049003922778900,0.33067729,-0.9221406641881910,42.552464032206100,-2.610697424378840,0.34163714384331400,99.64636419490410,1
2006,George Arias,MEX,AAA,34,347,0.103746397,0.109510086,0.947368421,0.271523178,0.354466858,0.519867549,0.874334407,0.248344371,3.955505415476790,0.253012048,-0.30120478477329000,52.08187856249280,3.9376962231821600,0.3795588084085040,111.94827357883800,1000299
2006,Scott Bullett,MEX,AAA,37,349,0.065902578,0.186246418,0.353846153,0.336419753,0.378223495,0.570987654,0.949211149,0.234567901,2.5652411760248700,0.374485596,-0.7589865634217860,62.56890480924500,14.147234387287000,0.4123594917206670,135.39124787407200,1001644
2006,Matias Carrillo,MEX,AAA,43,331,0.108761329,0.081570996,1.333333333,0.279310344,0.36060606,0.396551724,0.757157784,0.11724138,3.5279390162411000,0.286821705,-0.31357737723738000,40.88505567505980,-5.039222003072280,0.3496985194530890,81.40925458480890,1001993
2006,Pedro Castellano,MEX,AAA,36,451,0.10864745,0.101995565,1.065217391,0.306122448,0.386666666,0.497448979,0.884115645,0.191326531,2.10190581374997,0.313432835,0.21767977718263900,72.64389366219550,10.070331025224000,0.39189875340193800,125.5829808078210,1002056
2008,Pedro Castellano,MEX,AAA,38,428,0.116822429,0.112149532,1.041666666,0.361185983,0.436915887,0.522911051,0.959826938,0.161725068,2.478217477996420,0.389240506,0.3653971846215430,83.1573487954545,28.416682644407700,0.4348167867243430,163.43153193460800,1002056
2009,Pedro Castellano,MEX,AAA,39,417,0.083932853,0.146282973,0.573770491,0.318059299,0.375,0.460916442,0.835916442,0.142857143,3.6618965265283500,0.347540983,1.0832001129165300,57.88598778385700,0.5364504410701610,0.3704686245205360,112.4563914503530,1002056
2010,Pedro Castellano,MEX,AAA,40,413,0.111380145,0.142857142,0.779661016,0.336134453,0.412621359,0.492997198,0.905618557,0.156862745,3.3220409429417900,0.375426621,1.140683918260040,71.31444990068260,14.759681278761100,0.4073825111530100,137.64791510728500,1002056
2007,Pedro Castellano,MEX,AAA,37,362,0.077348066,0.132596685,0.583333333,0.328173374,0.387186629,0.554179566,0.941366195,0.226006192,2.2343238385248700,0.34351145,-0.6312918490730230,65.5175984638985,16.340978248721000,0.4137636414786290,120.43644092069000,1002056
2021,Christian Bethancourt,PIT,AAA,29,363,0.077134986,0.201101928,0.383561643,0.280966767,0.338842975,0.468277945,0.80712092,0.187311178,3.993813425650230,0.321138211,-0.05118249449878930,53.39286672127250,6.849653338909190,0.3528726439173890,115.04440641305600,10028
2018,Christian Bethancourt,MIL,AAA,26,418,0.047846889,0.181818181,0.263157894,0.296675191,0.327751196,0.506393861,0.834145057,0.20971867,3.8567323464360100,0.318936877,0.664626429323107,61.60292390190020,7.0375409146393600,0.35849866185462100,88.49975637392090,10028
2011,Tike Redman,MEX,AAA,34,311,0.144694533,0.10289389,1.40625,0.280155642,0.390163934,0.3385214,0.728685334,0.058365758,3.6991412169165300,0.31858407,-0.48891023080796000,38.38611679593000,-6.032488323059920,0.3489661840322390,93.1580694191539,1003
2008,Tike Redman,BAL,AAA,31,527,0.091081593,0.09487666,0.96,0.291576673,0.360308285,0.369330453,0.729638738,0.07775378,5.129364693544830,0.318840579,-2.8649992123246200,64.60666007412800,1.863424918187970,0.33270921244584500,104.75136894660100,1003
2013,Chris Owings,ARI,AAA,21,575,0.038260869,0.172173913,0.222222222,0.329670329,0.359019264,0.481684981,0.840704245,0.152014652,7.304596829854790,0.386206896,0.6756447171792390,87.49059433537940,15.29744970101330,0.3721067884475360,106.8405656361360,10030
2006,Eddy Diaz,MEX,AAA,34,452,0.099557522,0.092920353,1.071428571,0.288944723,0.362222222,0.414572864,0.776795086,0.125628141,1.604901655299790,0.3,0.24606051482260200,57.58774762675360,-5.124559051541570,0.354066206304819,93.08519658650180,1003265
2012,Wil Myers,KCR,AAA,21,439,0.102505694,0.223234624,0.459183673,0.304123711,0.378132118,0.554123711,0.932255829,0.25,4.2177439694548500,0.349442379,-0.5672156666405500,79.75957744346880,21.69445023463990,0.39988969324382500,133.9146666462720,10047
2012,Grant Green,OAK,AAA,24,562,0.058718861,0.133451957,0.44,0.295801526,0.338078291,0.458015267,0.796093558,0.162213741,5.409398345078090,0.320366132,-1.6107556254137300,76.98434921910090,2.6504050474338200,0.3480867489561470,111.54574730825100,10053
2013,Grant Green,OAK,AAA,25,415,0.06506024,0.168674698,0.385714285,0.325396825,0.378640776,0.5,0.878640776,0.174603175,4.949305020312450,0.375838926,0.18551685032434800,69.23259692577350,17.12797949401360,0.3897586582350910,140.33305783709600,10053
2015,Grant Green,LAA,AAA,27,414,0.04347826,0.169082125,0.257142857,0.306493506,0.336585365,0.449350649,0.785936014,0.142857143,5.328232644305720,0.358730158,-1.1144184581935400,55.00268139688530,3.601120330377050,0.34650085524814900,100.10406962458100,10053
2006,Jed Hansen,SFG,AAA,33,408,0.078431372,0.176470588,0.444444444,0.246575342,0.316953316,0.386301369,0.703254685,0.139726027,5.164651242270440,0.279720279,0.7139649101300170,44.212952876667200,-7.278771137614980,0.31773967868865900,84.91516789967450,1005327
2014,Max Stassi,HOU,AAA,23,425,0.051764705,0.242352941,0.213592233,0.247448979,0.29620853,0.37755102,0.67375955,0.130102041,3.65082045014469,0.312056737,0.19479480294467100,40.013258000631500,-15.587385157327500,0.29923637009573100,71.06035953658430,10059
2021,Tomas Telis,MIN,AAA,30,453,0.057395143,0.12803532,0.448275862,0.295508274,0.339955849,0.418439716,0.758395565,0.122931442,3.879932527503190,0.319209039,-0.022125735878944400,60.59334061941080,2.510487555469830,0.33698443479622200,99.55770240559250,10067
2008,Manny Martinez,MEX,AAA,37,310,0.096774193,0.141935483,0.681818181,0.301115241,0.380327868,0.427509293,0.807837161,0.126394052,5.215625425406000,0.346846846,-0.24999763490632200,44.32872049287840,4.680107159176320,0.3728300619204310,117.9294865859130,1008182
2006,Manny Martinez,MEX,AAA,35,463,0.125269978,0.112311015,1.115384615,0.348051948,0.438177874,0.548051948,0.986229822,0.2,5.6115956585782700,0.365030674,4.10677214153111,93.99108383160770,29.752592698752200,0.4390192442614100,134.88953229390600,1008182
2007,Manny Martinez,MEX,AAA,36,337,0.089020771,0.112759643,0.789473684,0.293333333,0.366071428,0.4,0.766071428,0.106666667,5.220400292257770,0.321705426,0.4732042667455970,43.51435675934630,-2.266088026606310,0.3544076825255780,87.42128002276530,1008182
2006,Noe Munoz,MEX,AAA,35,411,0.09245742,0.102189781,0.904761904,0.32596685,0.388613861,0.419889502,0.808503363,0.093922652,2.024340256702830,0.355345911,-0.05145429354161020,58.238144750921900,1.2143437668968500,0.3701269486546520,98.19183309973640,1009329
2007,Noe Munoz,MEX,AAA,36,339,0.126843657,0.1179941,1.075,0.296167247,0.384384384,0.414634146,0.79901853,0.118466899,1.9124712799310000,0.326530612,-0.11973483953625000,47.78187178589650,1.729732965605880,0.36794256515733400,99.82099961369900,1009329
2008,Noe Munoz,MEX,AAA,37,376,0.106382978,0.109042553,0.975609756,0.326086956,0.409214092,0.431677018,0.84089111,0.105590062,2.5250461955812000,0.36101083,0.0822424073703587,60.682771310124500,12.592840298924500,0.3950577438039190,122.24560542782100,1009329
2009,Noe Munoz,MEX,AAA,38,419,0.105011933,0.102625298,1.023255813,0.34332425,0.412048192,0.471389645,0.883437837,0.128065395,2.231362281654440,0.369905956,-0.07914662081748250,70.61064750667320,12.98605243082750,0.40402219246551000,117.52500355568700,1009329
2011,Willis Otanez,MEX,AAA,38,401,0.132169576,0.124688279,1.06,0.341107871,0.42892768,0.580174927,1.009102607,0.239067056,1.37596524625,0.346715328,0.6590158538892870,81.15107715292140,23.87821331782500,0.4350356088979600,145.58026297567600,1009889
2012,Willis Otanez,MEX,AAA,39,307,0.110749185,0.146579804,0.755555555,0.280898876,0.364820846,0.460674157,0.825495003,0.179775281,2.1278634834418000,0.29906542,0.49716421216726300,43.6610376978052,2.369909196509160,0.35925673428564000,114.68221144486000,1009889
2009,Willis Otanez,MEX,AAA,36,446,0.143497757,0.103139013,1.391304347,0.348648648,0.450672645,0.581081081,1.031753726,0.232432433,0.91871920875,0.355987055,0.8187108719721440,94.7342533836479,33.39637891150660,0.45359243255227700,144.16077958372300,1009889
2010,Willis Otanez,MEX,AAA,37,394,0.124365482,0.093908629,1.324324324,0.393491124,0.469543147,0.582840236,1.052383383,0.189349112,2.18697478375,0.412969283,0.5695754159241920,88.67344528018070,34.72046988783910,0.4673264764751180,152.88660235047500,1009889
2013,Willis Otanez,MEX,AAA,40,385,0.114285714,0.135064935,0.846153846,0.366366366,0.444155844,0.666666666,1.11082251,0.3003003,1.4821428525,0.372093023,0.4809451405890290,92.70142462691430,38.46883636554850,0.469541794671787,159.28996622170300,1009889
2014,Willis Otanez,MEX,AAA,41,422,0.139810426,0.165876777,0.842857142,0.308988764,0.407582938,0.511235955,0.918818893,0.202247191,1.4020853275,0.333333333,0.3733742849435660,74.4583601192584,18.1207648948779,0.4048657993187650,119.42749222284600,1009889
2006,Willis Otanez,MEX,AAA,33,423,0.087470449,0.13002364,0.672727272,0.354330708,0.408983451,0.564304461,0.973287912,0.209973753,1.60119047125,0.372990353,0.7095184409990910,80.46521641181490,21.77648693190600,0.4246584227045090,148.33270279398500,1009889
2007,Willis Otanez,MEX,AAA,34,429,0.123543123,0.121212121,1.019230769,0.36239782,0.447552447,0.596730245,1.044282692,0.234332425,2.9509944162270500,0.377104377,0.8241885080933570,94.3588525692376,36.08048220373710,0.4583538812848760,173.1679714702770,1009889
2008,Willis Otanez,MEX,AAA,35,363,0.099173553,0.121212121,0.818181818,0.29022082,0.363636363,0.441640378,0.805276741,0.151419558,2.4491574446447100,0.307407407,-0.2901004054583610,50.610716287890400,4.18346906165214,0.3685131991765780,120.17671654425,1009889
2017,Dustin Ackley,LAA,AAA,29,505,0.106930693,0.140594059,0.76056338,0.260770975,0.339960238,0.376417233,0.716377471,0.115646258,4.154426553265050,0.294594594,-0.5059257589746270,58.05625065881160,-8.434758114634460,0.3206407168430250,81.38175377474840,10099
2007,Robert Perez,MEX,AAA,38,412,0.070388349,0.094660194,0.743589743,0.317333333,0.368932038,0.544,0.912932038,0.226666667,3.547895121763850,0.305031446,1.0377900581806900,68.94052750303220,12.97155642940470,0.3981347856428340,126.91126820132300,1010186
2008,Robert Perez,MEX,AAA,39,452,0.077433628,0.108407079,0.714285714,0.3,0.358407079,0.475609756,0.834016835,0.175609756,4.469804929151500,0.307471264,1.2545241671614300,66.32657381782400,8.51633760223261,0.3773546748691140,118.42655640852200,1010186
2009,Robert Perez,MEX,AAA,40,306,0.032679738,0.117647058,0.277777777,0.296167247,0.326732673,0.435540069,0.762272742,0.139372822,5.214633522716220,0.31707317,1.3354778913781000,34.87271667416010,-7.211116483856150,0.3423980224644000,94.36221424832020,1010186
2006,Darrell Sherman,MEX,AAA,38,336,0.136904761,0.095238095,1.4375,0.348920863,0.447129909,0.442446043,0.889575952,0.09352518,6.088852887851020,0.386178861,0.44464900717139200,59.96873489907810,13.350737014327800,0.4114580755950480,129.9373439372610,1011879
2007,Mario Valdez,MEX,AAA,32,330,0.163636363,0.112121212,1.459459459,0.372180451,0.484756097,0.537593984,1.022350081,0.165413533,2.4409699264532200,0.410714285,1.0101420902647100,74.72008503983750,29.89056937406800,0.4657626811687540,168.01965793219200,1013314
2008,Mario Valdez,MEX,AAA,33,305,0.137704918,0.101639344,1.354838709,0.282945736,0.380327868,0.484496124,0.864823992,0.201550388,2.287258707964060,0.278538812,0.5834359065629540,47.29818426283460,8.2890646925793,0.38742757101853700,122.50912610857200,1013314
2006,Mario Valdez,MEX,AAA,31,356,0.165730337,0.129213483,1.282608695,0.293515358,0.412921348,0.518771331,0.931692679,0.225255973,1.56863839,0.297413793,0.6187000805512070,63.66187275379930,14.268994042575700,0.41184813686779600,112.82892267228300,1013314
2009,Mario Valdez,MEX,AAA,34,313,0.143769968,0.083067092,1.73076923,0.33716475,0.437299035,0.494252873,0.931551908,0.157088123,2.3734765260500400,0.354978354,-0.00006578303873538970,57.595363760317400,14.548828536595000,0.4215169539249020,118.71944207885900,1013314
2009,Pedro Valdes,MEX,AAA,36,438,0.210045662,0.075342465,2.787878787,0.354354354,0.497716894,0.57057057,1.068287464,0.216216216,0.9103441837500000,0.350694444,0.9880993282422420,102.71547617814200,42.477832638236400,0.4785562123217150,176.62258454227400,1013315
2006,Pedro Valdes,MEX,AAA,33,450,0.153333333,0.068888888,2.225806451,0.362162162,0.462222222,0.572972972,1.035195194,0.21081081,3.2725526397422700,0.362537764,0.9879642119631170,99.0629258740639,36.62810727841610,0.4582750330858700,145.9014851556920,1013315
2008,Pedro Valdes,MEX,AAA,35,430,0.15116279,0.072093023,2.096774193,0.356545961,0.45116279,0.568245125,1.019407915,0.211699164,0.9383116837500000,0.351265822,0.6698579038493340,90.72131627593650,35.72485261951100,0.45498109328831300,152.1634100729190,1013315
2006,Guillermo Velasquez,MEX,AAA,38,297,0.097643097,0.171717171,0.56862745,0.21590909,0.292929292,0.333333333,0.626262625,0.117424243,2.3135614134230900,0.239234449,0.10549166612327100,21.10862162033820,-20.098358652789300,0.29076132971028300,39.69098621893900,1013396
2006,Derrick White,MEX,AAA,36,335,0.131343283,0.128358208,1.023255813,0.407017543,0.495522388,0.715789473,1.211311861,0.30877193,4.054908987597940,0.434977578,1.624376242980360,92.34898724280660,45.86973339938000,0.5206753627869860,202.5612492477200,1013863
2007,Derrick White,MEX,AAA,37,440,0.145454545,0.104545454,1.391304347,0.358126721,0.459090909,0.58953168,1.048622589,0.231404959,4.202884790471400,0.366336633,2.135745529551060,97.1744816581864,37.40179410382700,0.45938431319815100,166.40615261071100,1013863
2008,Derrick White,MEX,AAA,38,308,0.126623376,0.129870129,0.975,0.356060606,0.444805194,0.598484848,1.043290042,0.242424242,2.31148636891528,0.373205741,0.6665906808339060,67.41689576372480,28.02407993540140,0.4645348818678610,174.93807623944900,1013863
2009,Derrick White,MEX,AAA,39,315,0.098412698,0.139682539,0.704545454,0.30960854,0.38095238,0.46619217,0.84714455,0.15658363,2.571687290115840,0.337719298,0.1547639649361370,47.24539001138920,3.9237970546077800,0.3830852152440500,112.89454531016000,1013863
2008,Kevin Barker,CIN,AAA,32,468,0.117521367,0.209401709,0.561224489,0.258145363,0.346153846,0.471177944,0.81733179,0.213032581,2.080300196934020,0.28275862,-0.735832829028368,65.3946969601647,9.675846764756840,0.353970391114208,116.19824598248700,1019
2009,Kevin Barker,CIN,AAA,33,417,0.129496402,0.191846522,0.675,0.285310734,0.3764988,0.550847457,0.927346257,0.265536723,3.2996437700380500,0.305019305,-0.5410954020917420,72.28437571622130,24.44641147203450,0.40026010939094600,149.8537968383590,1019
2010,Kevin Barker,MEX,AAA,34,320,0.171875,0.109375,1.571428571,0.291187739,0.415625,0.509578544,0.925203544,0.218390805,2.316176465,0.296296296,0.4086084505543110,58.13285073045600,14.313175284899300,0.41767076013972900,143.07793841416700,1019
2006,Kevin Barker,TOR,AAA,30,559,0.143112701,0.212880143,0.672268907,0.274841437,0.379248658,0.479915433,0.859164091,0.205073996,3.63878355748107,0.329411764,-0.4423934177029880,87.25553102964720,24.89737992162070,0.38074619366207000,136.63398460677600,1019
2007,Kevin Barker,TOR,AAA,31,553,0.133815551,0.215189873,0.621848739,0.259574468,0.358047016,0.425531914,0.78357893,0.165957446,2.855275604393050,0.305882352,0.2452594367787240,74.2756674691448,10.26824955189320,0.3531112955350480,112.57034633524200,1019
2011,Kevin Barker,MEX,AAA,35,373,0.150134048,0.168900804,0.888888888,0.357594936,0.455764075,0.591772151,1.047536226,0.234177215,3.9976878737708900,0.419087136,0.9863684428855780,81.82794450095450,28.55418337753570,0.4535767327953170,142.9235795804340,1019
2013,Billy Hamilton,CIN,AAA,22,547,0.069469835,0.186471663,0.372549019,0.25595238,0.307550644,0.343253968,0.650804612,0.087301588,7.83623669684097,0.309823677,8.446453796233980,50.68012308681320,-10.882916238364500,0.300275466389419,81.10267621221490,10199
2011,Jose Iglesias,BOS,AAA,21,387,0.054263565,0.149870801,0.362068965,0.235294117,0.285340314,0.268907563,0.554247877,0.033613446,4.280247975987920,0.278523489,0.5375615193042900,23.336887338562800,-21.231475627617100,0.2583930862199570,53.9833723608525,10231
2012,Jose Iglesias,BOS,AAA,22,396,0.068181818,0.116161616,0.586956521,0.266288951,0.317829457,0.305949008,0.623778465,0.039660057,5.100278533090010,0.299035369,1.0584609881043400,34.052583160969000,-11.080615338710600,0.28980265168872600,78.76861883525440,10231
2006,Cesar Crespo,ATL,AAA,27,488,0.112704918,0.174180327,0.647058823,0.238770685,0.326403326,0.319148936,0.645552262,0.080378251,5.000934089763550,0.286567164,0.4035469189984720,45.65085131742590,-8.787033728579370,0.2998827714511900,81.99070668446480,1024
2007,Cesar Crespo,BAL,AAA,28,391,0.0971867,0.173913043,0.558823529,0.244117647,0.318421052,0.317647058,0.63606811,0.073529411,3.7750364248257200,0.295202952,-0.7522615622729060,34.84031752119760,-10.416283574002,0.2957493675415620,78.92027101416250,1024
2014,Randal Grichuk,STL,AAA,22,472,0.059322033,0.228813559,0.259259259,0.259174311,0.311440677,0.493119266,0.804559943,0.233944955,5.110071362222790,0.28852459,-0.6926973642875960,63.062530005949,1.3131098399333700,0.3452750658735320,106.41266570892800,10243
2013,Eury Perez,WSN,AAA,23,433,0.030023094,0.147806004,0.203125,0.300248138,0.336470588,0.421836228,0.758306816,0.12158809,6.927206818037320,0.343373493,0.9376911488361660,54.92156719631210,6.188850509288470,0.3446771777377410,111.42816629514200,10299
2017,Oswaldo Arcia,ARI,AAA,26,400,0.1125,0.215,0.523255813,0.325513196,0.41,0.639296187,1.049296187,0.313782991,4.372023802500000,0.367088607,-0.15344131854362800,87.13336016705450,34.46721460392890,0.4395137488991400,154.07547223421400,10306
2016,Danny Ortiz,PIT,AAA,26,470,0.053191489,0.193617021,0.274725274,0.236238532,0.275053304,0.415137614,0.690190918,0.178899082,3.793715698195620,0.256716417,-1.986457651015370,45.622257006568900,-4.497630732851050,0.3040986663551740,96.0159755764211,10317
2017,Danny Ortiz,PIT,AAA,27,441,0.0430839,0.181405895,0.2375,0.270072992,0.302961275,0.457420924,0.760382199,0.187347932,3.611354304284780,0.298136645,0.11033442872576400,52.33789073404540,2.1421857970642200,0.32911087991455200,109.8585686132250,10317
2019,Danny Ortiz,MEX,AAA,29,530,0.096226415,0.196226415,0.490384615,0.311688311,0.383018867,0.653679653,1.03669852,0.341991342,2.727566247878640,0.313846153,-0.780667801387608,108.13870374388200,26.354820768303400,0.42056634886183200,120.3182991078520,10317
2015,Danny Ortiz,MIN,AAA,25,526,0.062737642,0.199619771,0.314285714,0.247933884,0.295238095,0.429752066,0.724990161,0.181818182,4.414440085172270,0.279891304,-0.018483540508896100,59.15544880954280,3.640092075147790,0.329563966689219,105.21748996004400,10317
2018,Danny Ortiz,PHI,AAA,28,418,0.045454545,0.241626794,0.188118811,0.232142857,0.270334928,0.397959183,0.668294111,0.165816326,1.629498306766250,0.271428571,-0.4825345586286860,39.40576447391160,-7.6749124989544200,0.2951477906115050,80.20453420849650,10317
2015,Rafael Ortega,STL,AAA,24,502,0.109561752,0.141434262,0.774647887,0.286041189,0.366935483,0.37757437,0.744509853,0.091533181,6.40118520529561,0.336065573,0.4737130654975770,64.59123136523240,2.263734613089450,0.3414209367048860,109.48196974828900,10323
2019,Rafael Ortega,ATL,AAA,28,493,0.119675456,0.192697768,0.621052631,0.28538283,0.373225152,0.524361948,0.8975871,0.238979118,5.578951525452800,0.32278481,-0.3407166168326510,85.44560923339410,18.324260405316700,0.38239412615454300,126.63746656284300,10323
2017,Rafael Ortega,SDP,AAA,26,472,0.097457627,0.103813559,0.93877551,0.317422434,0.382978723,0.467780429,0.850759152,0.150357995,7.349252323754670,0.345108695,1.79591857874766,75.48120683413680,13.335155069648600,0.37258883024382800,113.49809001004400,10323
2015,Rey Fuentes,KCR,AAA,24,445,0.06741573,0.161797752,0.416666666,0.308080808,0.35962877,0.421717171,0.781345941,0.113636363,7.285887699736360,0.356466876,2.9155702209100100,60.85279362132880,5.602323392835600,0.35121963814247500,106.87468507127300,10329
2014,Domingo Santana,HOU,AAA,21,513,0.124756335,0.290448343,0.429530201,0.29571106,0.384015594,0.474040632,0.858056226,0.178329572,3.617274469342200,0.407801418,-0.6383556345863330,83.6505849072616,16.537337989537000,0.3796417366247620,122.58389670670400,10348
